iso3,date,obesity_prevalence,diabetes_treatment,polluting_cooking_fuels,hypertension_treatment,mean_years_schooling,expected_years_schooling,alcohol_consumption,life_expectancy
AUT,2004,13.0081615,44.71194,0.0,44.85,11.408111111111111,15.118555555555556,15.5468128075,79.60166666666666
AUT,2005,13.2374465,45.736794,0.0,46.25,11.499,15.182111111111112,15.554453407,79.69433333333333
AUT,2006,13.4463075,46.7566775,0.0,47.55,11.495111111111113,15.245555555555557,15.6707237765,80.139
AUT,2007,13.6305105,47.776729,0.0,48.7,11.494222222222223,15.308666666666666,15.570738981999998,80.36122222222222
AUT,2008,13.7866145,48.7993315,0.0,49.7,11.418555555555557,15.396,15.2784052565,80.58444444444444
AUT,2009,13.9126945,49.830614,0.0,50.599999999999994,11.62811111111111,15.400666666666666,15.1308768265,80.515
AUT,2010,14.0110735,50.8675695,0.0,51.349999999999994,11.648222222222223,15.622333333333334,15.0819673205,80.74411111111111
AUT,2011,14.089198,51.9040765,0.0,52.0,11.658444444444443,15.659333333333333,15.1908490835,81.09744444444443
AUT,2012,14.1553345,52.923292,0.0,52.5,11.703444444444443,15.770333333333332,15.15151413,81.05577777777778
AUT,2013,14.221723,53.9159985,0.0,52.9,11.732111111111111,15.544444444444444,15.297492325,81.337
AUT,2014,14.2976005,54.8713085,0.0,53.25,11.950333333333331,15.548555555555556,15.088039696,81.659
AUT,2015,14.3893295,55.788878,0.0,53.45,12.01088888888889,15.590555555555556,14.902641739500002,81.41288888888889
AUT,2016,14.500371,56.665963,0.0,53.65,12.054,15.484777777777778,14.57452737,81.78222222222222
AUT,2017,14.6233335,57.5041205,0.0,53.75,12.082555555555556,15.540888888888889,14.5295454165,81.83255555555554
AUT,2018,14.7519335,58.306411,0.0,53.85,12.136444444444445,15.612333333333332,14.5731239235,81.92366666666666
AUT,2019,14.885882,59.0828745,0.0,54.0,12.175777777777776,15.646222222222224,14.5731239235,82.15422222222223
AUT,2020,15.0304405,59.836635,0.0,34.85,12.253777777777778,15.687111111111111,14.069669704,81.79755555555556
